公表日時,時間,結果（%）
1980-04-01,18:00,1.4
1980-03-01,18:00,1.0
1980-02-01,18:00,1.3
1980-01-01,18:00,1.2
1979-12-01,18:00,1.1
1979-11-01,18:00,1.0
1979-10-01,18:00,0.8
1979-09-01,18:00,1.1
1979-08-01,18:00,0.8
1979-07-01,18:00,0.7
1979-06-01,18:00,0.7
1979-05-01,18:00,0.7
1979-04-01,18:00,0.9
1979-03-01,18:00,1.0
1979-02-01,18:00,0.7
1979-01-01,18:00,0.6
1978-12-01,18:00,0.6
1978-11-01,18:00,0.7
1978-10-01,18:00,0.9
1978-09-01,18:00,0.8
1978-08-01,18:00,0.6
1978-07-01,18:00,0.8
1978-06-01,18:00,0.6
1978-05-01,18:00,0.8
1978-04-01,18:00,0.6
1978-03-01,18:00,0.5
1978-02-01,18:00,0.6
1978-01-01,18:00,0.6
1977-12-01,18:00,0.5
1977-11-01,18:00,0.3
1977-10-01,18:00,0.5
1977-09-01,18:00,0.5
1977-08-01,18:00,0.3
1977-07-01,18:00,0.7
1977-06-01,18:00,0.5
1977-05-01,18:00,0.5
1977-04-01,18:00,0.5
1977-03-01,18:00,0.7
1977-02-01,18:00,0.7
1977-01-01,18:00,0.3
1976-12-01,18:00,0.3
1976-11-01,18:00,0.5
1976-10-01,18:00,0.5
1976-09-01,18:00,0.5
1976-08-01,18:00,0.7
1976-07-01,18:00,0.4
1976-06-01,18:00,0.5
1976-05-01,18:00,0.4
1976-04-01,18:00,0.5
1976-03-01,18:00,0.5
1976-02-01,18:00,0.7
1976-01-01,18:00,0.5
1975-12-01,18:00,0.7
1975-11-01,18:00,0.6
1975-10-01,18:00,0.6
1975-09-01,18:00,0.4
1975-08-01,18:00,0.4
1975-07-01,18:00,0.6
1975-06-01,18:00,0.4
1975-05-01,18:00,0.6
1975-04-01,18:00,0.4
1975-03-01,18:00,1.0
1975-02-01,18:00,0.6
1975-01-01,18:00,0.8
1974-12-01,18:00,0.8
1974-11-01,18:00,1.0
1974-10-01,18:00,1.0
1974-09-01,18:00,1.4
1974-08-01,18:00,1.0
1974-07-01,18:00,1.0
1974-06-01,18:00,1.3
1974-05-01,18:00,0.6
1974-04-01,18:00,0.8
1974-03-01,18:00,0.6
1974-02-01,18:00,0.4
1974-01-01,18:00,0.4
1973-12-01,18:00,0.4
1973-11-01,18:00,0.7
1973-10-01,18:00,0.7
1973-09-01,18:00,0.4
1973-08-01,18:00,0.2
1973-07-01,18:00,0.2
1973-06-01,18:00,0.4
1973-05-01,18:00,0.2
1973-04-01,18:00,0.4
1973-03-01,18:00,0.4
1973-02-01,18:00,0.0
1973-01-01,18:00,0.5
1972-12-01,18:00,0.0
1972-11-01,18:00,0.2
1972-10-01,18:00,0.0
1972-09-01,18:00,0.5
1972-08-01,18:00,0.2
1972-07-01,18:00,0.2
1972-06-01,18:00,0.2
1972-05-01,18:00,0.5
1972-04-01,18:00,0.0
1972-03-01,18:00,0.2
1972-02-01,18:00,0.5
1972-01-01,18:00,0.2
1971-12-01,18:00,0.2
1971-11-01,18:00,0.2
1971-10-01,18:00,0.0
1971-09-01,18:00,0.2
1971-08-01,18:00,0.2
1971-07-01,18:00,0.5
1971-06-01,18:00,0.5
1971-05-01,18:00,0.5
1971-04-01,18:00,0.0
1971-03-01,18:00,0.2
1971-02-01,18:00,0.2
1971-01-01,18:00,0.5
1970-12-01,18:00,0.7
1970-11-01,18:00,0.5
1970-10-01,18:00,0.5
1970-09-01,18:00,0.5
1970-08-01,18:00,0.2
1970-07-01,18:00,0.7
1970-06-01,18:00,0.2
1970-05-01,18:00,0.7
1970-04-01,18:00,0.8
1970-03-01,18:00,0.5
1970-02-01,18:00,0.5
1970-01-01,18:00,0.5
