公表日時,時間,結果
2013-05-23,21:30,340000
2013-05-16,21:30,360000
2013-05-09,21:30,323000
2013-05-02,21:30,324000
2013-04-25,21:30,339000
2013-04-18,21:30,352000
2013-04-11,21:30,346000
2013-04-04,21:30,385000
2013-03-28,21:30,357000
2013-03-21,21:30,336000
2013-03-14,21:30,332000
2013-03-07,22:30,340000
2013-02-28,22:30,344000
2013-02-21,22:30,362000
2013-02-14,22:30,341000
2013-02-07,22:30,366000
2013-01-31,22:30,368000
2013-01-24,22:30,330000
2013-01-17,22:30,335000
2013-01-10,22:30,371000
2013-01-03,22:30,372000
2012-12-27,22:30,350000
2012-12-20,22:30,361000
2012-12-13,22:30,343000
2012-12-06,22:30,370000
2012-11-29,22:30,393000
2012-11-21,22:30,410000
2012-11-15,22:30,439000
2012-11-08,22:30,355000
2012-11-01,21:30,363000
2012-10-25,21:30,369000
2012-10-18,21:30,388000
2012-10-11,21:30,339000
2012-10-04,21:30,367000
2012-09-27,21:30,359000
2012-09-20,21:30,382000
2012-09-13,21:30,382000
2012-09-06,21:30,365000
2012-08-30,21:30,374000
2012-08-23,21:30,372000
2012-08-16,21:30,366000
2012-08-09,21:30,361000
2012-08-02,21:30,365000
2012-07-26,21:30,353000
2012-07-19,21:30,386000
2012-07-12,21:30,350000
2012-07-05,21:30,374000
2012-06-28,21:30,386000
2012-06-21,21:30,387000
2012-06-14,21:30,386000
2012-06-07,21:30,377000
2012-05-31,21:30,383000
2012-05-24,21:30,370000
2012-05-17,21:30,370000
2012-05-10,21:30,367000
2012-05-03,21:30,365000
2012-04-26,21:30,388000
2012-04-19,21:30,386000
2012-04-12,21:30,380000
2012-04-05,21:30,357000
2012-03-29,21:30,359000
2012-03-22,21:30,348000
2012-03-15,21:30,351000
2012-03-08,22:30,362000
2012-03-01,22:30,351000
2012-02-23,22:30,351000
2012-02-16,22:30,348000
2012-02-09,22:30,358000
2012-02-02,22:30,367000
2012-01-26,22:30,377000
2012-01-19,22:30,352000
2012-01-12,22:30,399000
2012-01-05,22:30,372000
2011-12-29,22:30,381000
2011-12-22,22:30,364000
2011-12-15,22:30,366000
2011-12-08,22:30,381000
2011-12-01,22:30,402000
2011-11-23,22:30,393000
2011-11-17,22:30,388000
2011-11-10,22:30,390000
2011-11-03,21:30,397000
2011-10-27,21:30,402000
2011-10-20,21:30,403000
2011-10-13,21:30,404000
2011-10-06,21:30,401000
2011-09-29,21:30,391000
2011-09-22,21:30,423000
2011-09-15,21:30,428000
2011-09-08,21:30,414000
2011-09-01,21:30,409000
2011-08-25,21:30,417000
2011-08-18,21:30,408000
2011-08-11,21:30,395000
2011-08-04,21:30,400000
2011-07-28,21:30,398000
2011-07-21,21:30,418000
2011-07-14,21:30,405000
2011-07-07,21:30,418000
2011-06-30,21:30,428000
2011-06-23,21:30,429000
2011-06-16,21:30,414000
2011-06-09,21:30,427000
2011-06-02,21:30,422000
2011-05-26,21:30,424000
2011-05-19,21:30,409000
2011-05-12,21:30,434000
2011-05-05,21:30,474000
2011-04-28,21:30,429000
2011-04-21,21:30,403000
2011-04-14,21:30,412000
2011-04-07,21:30,382000
2011-03-31,21:30,388000
2011-03-24,21:30,382000
2011-03-17,21:30,385000
2011-03-10,22:30,397000
2011-03-03,22:30,368000
2011-02-24,22:30,391000
2011-02-17,22:30,410000
2011-02-10,22:30,383000
2011-02-03,22:30,415000
2011-01-27,22:30,454000
2011-01-20,22:30,404000
2011-01-13,22:30,445000
2011-01-06,22:30,409000
2010-12-30,22:30,388000
2010-12-23,22:30,420000
2010-12-16,22:30,420000
2010-12-09,22:30,421000
2010-12-02,22:30,436000
2010-11-24,22:30,407000
2010-11-18,22:30,439000
2010-11-10,22:30,435000
2010-11-04,21:30,457000
2010-10-28,21:30,434000
2010-10-21,21:30,452000
2010-10-14,21:30,462000
2010-10-07,21:30,445000
2010-09-30,21:30,453000
2010-09-23,21:30,465000
2010-09-16,21:30,450000
2010-09-09,21:30,451000
2010-09-02,21:30,472000
2010-08-26,21:30,473000
2010-08-19,21:30,500000
2010-08-12,21:30,484000
2010-08-05,21:30,479000
2010-07-29,21:30,457000
2010-07-22,21:30,464000
2010-07-15,21:30,429000
2010-07-08,21:30,454000
2010-07-01,21:30,472000
2010-06-24,21:30,457000
2010-06-17,21:30,472000
2010-06-10,21:30,456000
