公表日時,時間,結果,予想,前回,
2015年02月28日 (2月),00:00,95.4,94.0,93.6,
2015年02月14日 (2月),00:00  ,93.6,98.1,98.1,
2015年01月31日 (1月),00:00,98.1,98.2,98.2,
2015年01月17日 (1月),00:00  ,98.2,94.1,93.6,
2014年12月23日 (12月),23:55,93.6,93.1,93.8,
2014年12月12日 (12月),23:55  ,93.8,89.7,88.8,
2014年11月26日 (11月),23:55,88.8,90.2,89.4,
2014年11月14日 (11月),23:55  ,89.4,87.5,86.9,
2014年10月31日 (10月),22:55,86.9,86.4,86.4,
2014年10月17日 (10月),22:55  ,86.4,84.1,84.6,
2014年09月26日 (9月),22:55,84.6,84.7,84.6,
2014年09月12日 (9月),22:55  ,84.6,83.3,82.5,
2014年08月29日,22:55,82.5,80.1,79.2,
2014年08月15日,22:55  ,79.2,82.5,81.8,
2014年08月01日,22:55,81.8,82.0,81.3,
2014年07月18日,22:55  ,81.3,83.0,82.5,
2014年06月27日,22:55,82.5,82.2,81.2,
2014年06月13日,22:55  ,81.2,83.0,81.9,
2014年05月30日,22:55,81.9,82.5,81.8,
2014年05月16日,22:55  ,81.8,84.5,84.1,
2014年04月25日,22:55,84.1,83.0,82.6,
2014年04月11日,22:55  ,82.6,81.0,80.0,
2014年03月28日,22:55,80.0,80.5,79.9,
2014年03月14日,22:55  ,79.9,82.0,81.6,
2014年02月28日,23:55,81.6,81.3,81.2,
2014年02月14日,23:55  ,81.2,80.6,81.2,
2014年01月31日,23:55,81.2,81.0,80.4,
2014年01月17日,23:55  ,80.4,83.5,82.5,
2013年12月23日,23:55,82.5,83.0,82.5,
2013年12月06日,23:55  ,82.5,76.0,75.1,
2013年11月27日,23:55,75.1,73.5,72.0,
2013年11月08日,23:55  ,72.0,74.5,73.2,
2013年10月25日,22:55,73.2,75.0,75.2,
2013年10月11日,22:55  ,75.2,76.0,77.5,
2013年09月27日,22:55,77.5,78.0,76.8,
2013年09月13日,22:55  ,76.8,82.0,82.1,
2013年08月30日,22:55,82.1,80.5,80.0,
2013年08月16日,22:55  ,80.0,85.5,85.1,
2013年07月26日,22:55,85.1,84.0,83.9,
2013年07月12日,22:55  ,83.9,85.0,84.1,
2013年06月28日,22:55,84.1,82.8,82.7,
2013年06月14日,22:55  ,82.7,84.5,84.5,
2013年05月31日,22:55,84.5,83.7,83.7,
2013年05月17日,22:55  ,83.7,78.0,76.4,
2013年04月26日,22:55,76.4,73.2,72.3,
2013年04月12日,22:55  ,72.3,78.5,78.6,
2013年03月29日,22:55,78.6,72.5,71.8,
2013年03月15日,22:55  ,71.8,78.0,77.6,
2013年03月01日,23:55,77.6,76.3,76.3,
2013年02月15日,23:55  ,76.3,74.8,73.8,
2013年02月01日,23:55,73.8,71.5,71.3,
2013年01月18日,23:55  ,71.3,75.0,72.9,
2012年12月21日,23:55,72.9,74.7,74.5,
2012年12月07日,23:55  ,74.5,82.4,82.7,
2012年11月21日,23:55,82.7,84.5,84.9,
2012年11月09日,23:55  ,84.9,83.0,82.6,
2012年10月26日,22:55,82.6,83.0,83.1,
2012年10月12日,22:55  ,83.1,78.0,78.3,
2012年09月28日,22:55,78.3,79.0,79.2,
2012年09月14日,22:55  ,79.2,74.0,74.3,
2012年08月31日,22:55,74.3,73.6,73.6,
2012年08月17日,22:55  ,73.6,72.4,72.3,
2012年07月27日,22:55,72.3,72.0,72.0,
2012年07月13日,22:55  ,72.0,73.4,73.2,
2012年06月29日,22:55,73.2,74.1,74.1,
2012年06月15日,22:55  ,74.1,77.5,79.3,
2012年05月25日,22:55,79.3,77.8,77.8,
2012年05月11日,22:55  ,77.8,76.2,76.4,
2012年04月27日,22:55,76.4,75.7,75.7,
2012年04月13日,22:55  ,75.7,76.2,76.2,
2012年03月30日,22:55,76.2,75.1,74.3,
2012年03月16日,22:55  ,74.3,75.7,75.3,
2012年02月24日,23:55,75.3,72.5,72.5,
2012年02月10日,23:55  ,72.5,74.3,75.0,
2012年01月27日,23:55,75.0,74.2,74.0,
2012年01月13日,23:55  ,74.0,70.6,69.9,
2011年12月22日,23:55,69.9,68.2,67.7,
2011年12月09日,23:55  ,67.7,65.9,64.1,
2011年11月23日,23:55,64.1,64.5,64.2,
2011年11月11日,23:55  ,64.2,61.0,60.9,
2011年10月28日,22:55,60.9,58.0,57.5,
2011年10月14日,22:55  ,57.5,60.0,59.4,
2011年09月30日,22:55,59.4,57.9,57.8,
2011年09月16日,22:55  ,57.8,56.0,55.7,
2011年08月26日,22:55,55.7,56.0,54.9,
2011年08月12日,22:55  ,54.9,63.0,63.7,
2011年07月29日,22:55,63.7,64.0,63.8,
2011年07月15日,22:55  ,63.8,72.5,71.5,
2011年07月01日,22:55,71.5,72.0,71.8,
2011年06月17日,22:55  ,71.8,74.0,74.3,
2011年05月27日,22:55,74.3,72.4,72.4,
2011年05月13日,22:55  ,72.4,70.0,69.8,
2011年04月29日,22:55,69.8,70.0,69.6,
2011年04月15日,22:55  ,69.6,68.8,67.5,
2011年03月25日,22:55,67.5,68.0,68.2,
2011年03月11日,23:55  ,68.2,76.5,77.5,
2011年02月25日,23:55,77.5,75.1,75.1,
2011年02月11日,23:55  ,75.1,75.5,74.2,
2011年01月28日,23:55,74.2,73.2,72.7,
2011年01月14日,23:55  ,72.7,75.5,74.5,
2010年12月23日,23:55,74.5,75.0,74.2,
2010年12月10日,23:55  ,74.2,72.5,71.6,
2010年11月24日,23:55,71.6,69.4,69.3,
2010年11月12日,23:55  ,69.3,69.0,67.7,
2010年10月29日,22:55,67.7,68.0,67.9,
2010年10月15日,22:55  ,67.9,68.6,68.2,
2010年10月01日,22:55,68.2,67.1,66.6,
2010年09月17日,22:55  ,66.6,70.0,68.9,
2010年08月27日,22:55,68.9,69.4,69.6,
2010年08月13日,22:55  ,69.6,70.0,67.8,
2010年07月30日,22:55,67.8,67.5,66.5,
2010年07月16日,22:55  ,66.5,74.5,76.0,
2010年06月25日,22:55,76.0,75.3,75.5,
2010年06月11日,22:55  ,75.5,74.8,73.6,
2010年05月28日,22:55,73.6,73.7,73.3,
2010年05月14日,22:55  ,73.3,73.5,72.2,
2010年04月30日,22:55,72.2,71.5,69.5,
2010年04月16日,22:55  ,69.5,75.0,73.6,
2010年03月26日,22:55,73.6,73.0,72.5,
2010年03月12日,23:55  ,72.5,74.0,73.6,
2010年02月26日,23:55,73.6,74.0,73.7,
2010年02月12日,23:55  ,73.7,74.8,74.4,
2010年01月29日,23:55,74.4,73.0,72.8,
2010年01月15日,23:55  ,72.8,73.8,72.5,
2009年12月23日,23:55,72.5,74.2,73.4,
2009年12月11日,23:55  ,73.4,69.1,67.4,
2009年11月25日,23:55,67.4,67.2,66.0,
2009年11月13日,23:55  ,66.0,71.2,70.6,
2009年10月30日,22:55,70.6,70.0,69.4,
2009年10月16日,22:55  ,69.4,73.5,73.5,
2009年09月25日,22:55,73.5,70.2,70.2,
2009年09月11日,22:55  ,70.2,67.1,65.7,
2009年08月28日,22:55,65.7,64.6,63.2,
2009年08月14日,22:55  ,63.2,68.6,66.0,
2009年07月24日,22:55,66.0,65.1,64.6,
2009年07月10日,22:55  ,64.6,71.1,70.8,
2009年06月26日,22:55,70.8,69.1,69.0,
2009年06月12日,22:55,69.0,69.0,68.7,
2009年05月29日,22:55,68.7,67.9,67.9,
2009年05月15日,22:55  ,67.9,65.5,65.1,
2009年05月01日,22:55,65.1,61.7,61.9,
2009年04月17日,22:55  ,61.9,58.3,57.3,
2009年03月27日,22:55,57.3,56.7,56.6,
2009年03月13日,22:55  ,56.6,49.9,56.3,
