公表日時,時間,結果,予想,前回,
1998年06月01日 (5月),18:00,0.60%, ,0.30%,
1998年05月01日 (4月),18:00,0.30%, ,0.10%,
1998年04月01日 (3月),18:00,0.10%, ,0.10%,
1998年03月01日 (2月),18:00,0.10%, ,0.50%,
1998年02月01日 (1月),18:00,0.50%, ,0.30%,
1998年01月01日 (12月),18:00,0.30%, ,0.90%,
1997年12月01日 (11月),18:00,0.90%, ,0.90%,
1997年11月01日 (10月),18:00,0.90%, ,0.90%,
1997年10月01日 (9月),18:00,0.90%, ,1.00%,
1997年09月01日 (8月),18:00,1.00%, ,0.90%,
1997年08月01日 (7月),18:00,0.90%, ,0.50%,
1997年07月01日 (6月),18:00,0.50%, ,0.60%,
1997年06月01日 (5月),18:00,0.60%, ,0.10%,
1997年05月01日 (4月),18:00,0.10%, ,0.70%,
1997年04月01日 (3月),18:00,0.70%, ,1.20%,
1997年03月01日 (2月),18:00,1.20%, ,0.20%,
1997年02月01日 (1月),18:00,0.20%, ,0.60%,
1997年01月01日 (12月),18:00,0.60%, ,0.90%,
1996年12月01日 (11月),18:00,0.90%, ,-0.10%,
1996年11月01日 (10月),18:00,-0.10%, ,0.60%,
1996年10月01日 (9月),18:00,0.60%, ,0.60%,
1996年09月01日 (8月),18:00,0.60%, ,-0.20%,
1996年08月01日 (7月),18:00,-0.20%, ,0.80%,
1996年07月01日 (6月),18:00,0.80%, ,0.70%,
1996年06月01日 (5月),18:00,0.70%, ,0.90%,
1996年05月01日 (4月),18:00,0.90%, ,-0.10%,
1996年04月01日 (3月),18:00,-0.10%, ,1.60%,
1996年03月01日 (2月),18:00,1.60%, ,-0.70%,
1996年02月01日 (1月),18:00,-0.70%, ,0.40%,
1996年01月01日 (12月),18:00,0.40%, ,0.20%,
1995年12月01日 (11月),18:00,0.20%, ,-0.10%,
1995年11月01日 (10月),18:00,-0.10%, ,0.40%,
1995年10月01日 (9月),18:00,0.40%, ,1.30%,
1995年09月01日 (8月),18:00,1.30%, ,-0.40%,
1995年08月01日 (7月),18:00,-0.40%, ,0.40%,
1995年07月01日 (6月),18:00,0.40%, ,0.30%,
1995年06月01日 (5月),18:00,0.30%, ,0.00%,
1995年05月01日 (4月),18:00,0.00%, ,0.10%,
1995年04月01日 (3月),18:00,0.10%, ,-0.10%,
1995年03月01日 (2月),18:00,-0.10%, ,0.20%,
1995年02月01日 (1月),18:00,0.20%, ,1.00%,
1995年01月01日 (12月),18:00,1.00%, ,0.60%,
1994年12月01日 (11月),18:00,0.60%, ,0.80%,
1994年11月01日 (10月),18:00,0.80%, ,0.40%,
1994年10月01日 (9月),18:00,0.40%, ,0.60%,
1994年09月01日 (8月),18:00,0.60%, ,0.20%,
1994年08月01日 (7月),18:00,0.20%, ,0.70%,
1994年07月01日 (6月),18:00,0.70%, ,0.60%,
1994年06月01日 (5月),18:00,0.60%, ,0.50%,
1994年05月01日 (4月),18:00,0.50%, ,1.00%,
1994年04月01日 (3月),18:00,1.00%, ,0.00%,
1994年03月01日 (2月),18:00,0.00%, ,0.40%,
1994年02月01日 (1月),18:00,0.40%, ,0.50%,
