公表日時,時間,結果,予想,前回,
2003年07月01日 (6月),21:30,6.3%, ,6.1%,
2003年06月01日 (5月),21:30,6.1%, ,6%,
2003年05月01日 (4月),21:30,6%, ,5.9%,
2003年04月01日 (3月),21:30,5.9%, ,5.9%,
2003年03月01日 (2月),21:30,5.9%, ,5.8%,
2003年02月01日 (1月),21:30,5.8%, ,6%,
2003年01月01日 (12月),21:30,6%, ,5.9%,
2002年12月01日 (11月),21:30,5.9%, ,5.7%,
2002年11月01日 (10月),21:30,5.7%, ,5.7%,
2002年10月01日 (9月),21:30,5.7%, ,5.7%,
2002年09月01日 (8月),21:30,5.7%, ,5.8%,
2002年08月01日 (7月),21:30,5.8%, ,5.8%,
2002年07月01日 (6月),21:30,5.8%, ,5.8%,
2002年06月01日 (5月),21:30,5.8%, ,5.9%,
2002年05月01日 (4月),21:30,5.9%, ,5.7%,
2002年04月01日 (3月),21:30,5.7%, ,5.7%,
2002年03月01日 (2月),21:30,5.7%, ,5.7%,
2002年02月01日 (1月),21:30,5.7%, ,5.7%,
2002年01月01日 (12月),21:30,5.7%, ,5.5%,
2001年12月01日 (11月),21:30,5.5%, ,5.3%,
2001年11月01日 (10月),21:30,5.3%, ,5%,
2001年10月01日 (9月),21:30,5%, ,4.9%,
2001年09月01日 (8月),21:30,4.9%, ,4.6%,
2001年08月01日 (7月),21:30,4.6%, ,4.5%,
2001年07月01日 (6月),21:30,4.5%, ,4.3%,
2001年06月01日 (5月),21:30,4.3%, ,4.4%,
2001年05月01日 (4月),21:30,4.4%, ,4.3%,
2001年04月01日 (3月),21:30,4.3%, ,4.2%,
2001年03月01日 (2月),21:30,4.2%, ,4.2%,
2001年02月01日 (1月),21:30,4.2%, ,3.9%,
2001年01月01日 (12月),21:30,3.9%, ,3.9%,
2000年12月01日 (11月),21:30,3.9%, ,3.9%,
2000年11月01日 (10月),21:30,3.9%, ,3.9%,
2000年10月01日 (9月),21:30,3.9%, ,4.1%,
2000年09月01日 (8月),21:30,4.1%, ,4%,
2000年08月01日 (7月),21:30,4%, ,4%,
2000年07月01日 (6月),21:30,4%, ,4%,
2000年06月01日 (5月),21:30,4%, ,3.8%,
2000年05月01日 (4月),21:30,3.8%, ,4%,
2000年04月01日 (3月),21:30,4%, ,4.1%,
2000年03月01日 (2月),21:30,4.1%, ,4%,
2000年02月01日 (1月),21:30,4%, ,4%,
2000年01月01日 (12月),21:30,4%, ,4.1%,
1999年12月01日 (11月),21:30,4.1%, ,4.1%,
1999年11月01日 (10月),21:30,4.1%, ,4.2%,
1999年10月01日 (9月),21:30,4.2%, ,4.2%,
1999年09月01日 (8月),21:30,4.2%, ,4.3%,
1999年08月01日 (7月),21:30,4.3%, ,4.3%,
1999年07月01日 (6月),21:30,4.3%, ,4.2%,
1999年06月01日 (5月),21:30,4.2%, ,4.3%,
1999年05月01日 (4月),21:30,4.3%, ,4.2%,
1999年04月01日 (3月),21:30,4.2%, ,4.4%,
1999年03月01日 (2月),21:30,4.4%, ,4.3%,
1999年02月01日 (1月),21:30,4.3%, ,4.4%,
1999年01月01日 (12月),21:30,4.4%, ,4.4%,
1998年12月01日 (11月),21:30,4.4%, ,4.5%,
1998年11月01日 (10月),21:30,4.5%, ,4.6%,
1998年10月01日 (9月),21:30,4.6%, ,4.5%,
1998年09月01日 (8月),21:30,4.5%, ,4.5%,
1998年08月01日 (7月),21:30,4.5%, ,4.5%,
1998年07月01日 (6月),21:30,4.5%, ,4.4%,
1998年06月01日 (5月),21:30,4.4%, ,4.3%,
1998年05月01日 (4月),21:30,4.3%, ,4.7%,
1998年04月01日 (3月),21:30,4.7%, ,4.6%,
1998年03月01日 (2月),21:30,4.6%, ,4.6%,
1998年02月01日 (1月),21:30,4.6%, ,4.7%,
1998年01月01日 (12月),21:30,4.7%, ,4.6%,
1997年12月01日 (11月),21:30,4.6%, ,4.7%,
1997年11月01日 (10月),21:30,4.7%, ,4.9%,
1997年10月01日 (9月),21:30,4.9%, ,4.8%,
1997年09月01日 (8月),21:30,4.8%, ,4.9%,
1997年08月01日 (7月),21:30,4.9%, ,5%,
1997年07月01日 (6月),21:30,5%, ,4.9%,
1997年06月01日 (5月),21:30,4.9%, ,5.1%,
1997年05月01日 (4月),21:30,5.1%, ,5.2%,
1997年04月01日 (3月),21:30,5.2%, ,5.2%,
1997年03月01日 (2月),21:30,5.2%, ,5.3%,
1997年02月01日 (1月),21:30,5.3%, ,5.4%,
1997年01月01日 (12月),21:30,5.4%, ,5.4%,
1996年12月01日 (11月),21:30,5.4%, ,5.2%,
1996年11月01日 (10月),21:30,5.2%, ,5.2%,
1996年10月01日 (9月),21:30,5.2%, ,5.1%,
1996年09月01日 (8月),21:30,5.1%, ,5.5%,
1996年08月01日 (7月),21:30,5.5%, ,5.3%,
1996年07月01日 (6月),21:30,5.3%, ,5.6%,
1996年06月01日 (5月),21:30,5.6%, ,5.6%,
1996年05月01日 (4月),21:30,5.6%, ,5.5%,
1996年04月01日 (3月),21:30,5.5%, ,5.5%,
1996年03月01日 (2月),21:30,5.5%, ,5.6%,
1996年02月01日 (1月),21:30,5.6%, ,5.6%,
1996年01月01日 (12月),21:30,5.6%, ,5.6%,
1995年12月01日 (11月),21:30,5.6%, ,5.5%,
1995年11月01日 (10月),21:30,5.5%, ,5.6%,
1995年10月01日 (9月),21:30,5.6%, ,5.7%,
1995年09月01日 (8月),21:30,5.7%, ,5.7%,
1995年08月01日 (7月),21:30,5.7%, ,5.6%,
1995年07月01日 (6月),21:30,5.6%, ,5.6%,
1995年06月01日 (5月),21:30,5.6%, ,5.8%,
1995年05月01日 (4月),21:30,5.8%, ,5.4%,
1995年04月01日 (3月),21:30,5.4%, ,5.4%,
1995年03月01日 (2月),21:30,5.4%, ,5.6%,
1995年02月01日 (1月),21:30,5.6%, ,5.5%,
1995年01月01日 (12月),21:30,5.5%, ,5.6%,
1994年12月01日 (11月),21:30,5.6%, ,5.8%,
1994年11月01日 (10月),21:30,5.8%, ,5.9%,
1994年10月01日 (9月),21:30,5.9%, ,6%,
1994年09月01日 (8月),21:30,6%, ,6.1%,
1994年08月01日 (7月),21:30,6.1%, ,6.1%,
1994年07月01日 (6月),21:30,6.1%, ,6.1%,
1994年06月01日 (5月),21:30,6.1%, ,6.4%,
1994年05月01日 (4月),21:30,6.4%, ,6.5%,
1994年04月01日 (3月),21:30,6.5%, ,6.6%,
1994年03月01日 (2月),21:30,6.6%, ,6.6%,
1994年02月01日 (1月),21:30,6.6%, ,6.5%,
1994年01月01日 (12月),21:30,6.5%, ,6.6%,
1993年12月01日 (11月),21:30,6.6%, ,6.8%,
1993年11月01日 (10月),21:30,6.8%, ,6.7%,
1993年10月01日 (9月),21:30,6.7%, ,6.8%,
1993年09月01日 (8月),21:30,6.8%, ,6.9%,
1993年08月01日 (7月),21:30,6.9%, ,7%,
1993年07月01日 (6月),21:30,7%, ,7.1%,
1993年06月01日 (5月),21:30,7.1%, ,7.1%,
1993年05月01日 (4月),21:30,7.1%, ,7%,
1993年04月01日 (3月),21:30,7%, ,7.1%,
1993年03月01日 (2月),21:30,7.1%, ,7.3%,
1993年02月01日 (1月),21:30,7.3%, ,7.4%,
1993年01月01日 (12月),21:30,7.4%, ,7.4%,
1992年12月01日 (11月),21:30,7.4%, ,7.3%,
1992年11月01日 (10月),21:30,7.3%, ,7.6%,
1992年10月01日 (9月),21:30,7.6%, ,7.6%,
1992年09月01日 (8月),21:30,7.6%, ,7.7%,
1992年08月01日 (7月),21:30,7.7%, ,7.8%,
1992年07月01日 (6月),21:30,7.8%, ,7.6%,
1992年06月01日 (5月),21:30,7.6%, ,7.4%,
1992年05月01日 (4月),21:30,7.4%, ,7.4%,
1992年04月01日 (3月),21:30,7.4%, ,7.4%,
1992年03月01日 (2月),21:30,7.4%, ,7.3%,
1992年02月01日 (1月),21:30,7.3%, ,7.3%,
