公表日時,時間,結果,予想,前回,
1986年10月01日 (9月),18:00,52.40, ,52.60,
1986年09月01日 (8月),18:00,52.60, ,48.00,
1986年08月01日 (7月),18:00,48.00, ,50.50,
1986年07月01日 (6月),18:00,50.50, ,53.40,
1986年06月01日 (5月),18:00,53.40, ,49.70,
1986年05月01日 (4月),18:00,49.70, ,51.00,
1986年04月01日 (3月),18:00,51.00, ,51.00,
1986年03月01日 (2月),18:00,51.00, ,51.20,
1986年02月01日 (1月),18:00,51.20, ,50.70,
1986年01月01日 (12月),18:00,50.70, ,52.00,
1985年12月01日 (11月),18:00,52.00, ,50.90,
1985年11月01日 (10月),18:00,50.90, ,49.90,
1985年10月01日 (9月),18:00,49.90, ,47.70,
1985年09月01日 (8月),18:00,47.70, ,47.90,
1985年08月01日 (7月),18:00,47.90, ,47.80,
1985年07月01日 (6月),18:00,47.80, ,47.10,
1985年06月01日 (5月),18:00,47.10, ,48.20,
1985年05月01日 (4月),18:00,48.20, ,47.80,
1985年04月01日 (3月),18:00,47.80, ,49.90,
1985年03月01日 (2月),18:00,49.90, ,50.30,
1985年02月01日 (1月),18:00,50.30, ,50.60,
1985年01月01日 (12月),18:00,50.60, ,50.30,
1984年12月01日 (11月),18:00,50.30, ,50.80,
1984年11月01日 (10月),18:00,50.80, ,50.00,
1984年10月01日 (9月),18:00,50.00, ,53.00,
1984年09月01日 (8月),18:00,53.00, ,56.10,
1984年08月01日 (7月),18:00,56.10, ,58.10,
1984年07月01日 (6月),18:00,58.10, ,58.60,
1984年06月01日 (5月),18:00,58.60, ,61.00,
1984年05月01日 (4月),18:00,61.00, ,58.90,
1984年04月01日 (3月),18:00,58.90, ,61.30,
1984年03月01日 (2月),18:00,61.30, ,60.50,
1984年02月01日 (1月),18:00,60.50, ,69.90,
1984年01月01日 (12月),18:00,69.90, ,66.00,
1983年12月01日 (11月),18:00,66.00, ,64.40,
1983年11月01日 (10月),18:00,64.40, ,62.50,
1983年10月01日 (9月),18:00,62.50, ,63.10,
1983年09月01日 (8月),18:00,63.10, ,63.60,
1983年08月01日 (7月),18:00,63.60, ,57.50,
1983年07月01日 (6月),18:00,57.50, ,56.10,
1983年06月01日 (5月),18:00,56.10, ,54.20,
1983年05月01日 (4月),18:00,54.20, ,53.90,
1983年04月01日 (3月),18:00,53.90, ,54.40,
1983年03月01日 (2月),18:00,54.40, ,46.00,
1983年02月01日 (1月),18:00,46.00, ,42.80,
1983年01月01日 (12月),18:00,42.80, ,39.20,
1982年12月01日 (11月),18:00,39.20, ,39.40,
1982年11月01日 (10月),18:00,39.40, ,38.80,
1982年10月01日 (9月),18:00,38.80, ,38.30,
1982年09月01日 (8月),18:00,38.30, ,38.40,
1982年08月01日 (7月),18:00,38.40, ,38.30,
1982年07月01日 (6月),18:00,38.30, ,35.50,
1982年06月01日 (5月),18:00,35.50, ,37.80,
1982年05月01日 (4月),18:00,37.80, ,36.80,
1982年04月01日 (3月),18:00,36.80, ,38.30,
1982年03月01日 (2月),18:00,38.30, ,38.20,
1982年02月01日 (1月),18:00,38.20, ,37.80,
1982年01月01日 (12月),18:00,37.80, ,36.10,
1981年12月01日 (11月),18:00,36.10, ,40.00,
1981年11月01日 (10月),18:00,40.00, ,42.50,
1981年10月01日 (9月),18:00,42.50, ,48.30,
1981年09月01日 (8月),18:00,48.30, ,46.70,
1981年08月01日 (7月),18:00,46.70, ,50.70,
1981年07月01日 (6月),18:00,50.70, ,53.50,
1981年06月01日 (5月),18:00,53.50, ,51.60,
1981年05月01日 (4月),18:00,51.60, ,49.60,
1981年04月01日 (3月),18:00,49.60, ,48.80,
1981年03月01日 (2月),18:00,48.80, ,49.20,
