公表日時,時間,結果
2011-03-04,22:30,192000
2011-04-01,21:30,216000
2011-05-06,21:30,244000
2011-06-03,21:30,54000
2011-07-08,21:30,18000
2011-08-05,21:30,117000
2011-09-02,21:30,0
2011-10-07,21:30,103000
2011-11-04,21:30,80000
2011-12-02,22:30,120000
2012-01-06,22:30,200000
2012-02-03,22:30,243000
2012-03-09,22:30,227000
2012-04-06,21:30,120000
2012-05-04,21:30,115000
2012-06-01,21:30,69000
2012-07-06,21:30,80000
2012-08-03,21:30,163000
2012-09-07,21:30,96000
2012-10-05,21:30,114000
2012-11-02,21:30,171000
2012-12-07,22:30,146000
2013-01-04,22:30,155000
2013-02-01,22:30,157000
2013-03-08,22:30,236000
2013-04-05,21:30,88000
2013-05-03,21:30,165000
2013-06-07,21:30,175000
2013-07-05,21:30,195000
2013-08-02,21:30,162000
2013-09-06,21:30,169000
2013-10-22,21:30,148000
2013-11-08,22:30,204000
2013-12-06,22:30,203000
2014-01-10,22:30,74000
2014-02-07,22:30,113000
2014-03-07,22:30,175000
2014-04-04,21:30,192000
2014-05-02,21:30,288000
2014-06-06,21:30,217000
2014-07-03,21:30,288000
2014-08-01,21:30,209000
2014-09-05,21:30,142000
2014-10-03,21:30,248000
2014-11-07,22:30,214000
2014-12-05,22:30,321000
2015-01-09,22:30,252000
2015-02-06,22:30,257000
2015-03-06,22:30,295000
2015-04-03,21:30,126000
2015-05-08,21:30,223000
2015-06-05,21:30,280000
2015-07-02,21:30,223000
2015-08-07,21:30,215000
2015-09-04,21:30,173000
2015-10-02,21:30,142000
2015-11-06,22:30,271000
2015-12-04,22:30,211000
2016-01-08,22:30,292000
2016-02-05,22:30,151000
2016-03-04,22:30,242000
2016-04-01,21:30,215000
2016-05-06,21:30,160000
2016-06-03,21:30,38000
2016-07-08,21:30,287000
2016-08-05,21:30,255000
2016-09-02,21:30,151000
2016-10-07,21:30,156000
2016-11-04,21:30,161000
2016-12-02,22:30,178000
2017-01-06,22:30,156000
2017-02-03,22:30,227000
2017-03-10,22:30,235000
2017-04-07,21:30,98000
2017-05-05,21:30,211000
2017-06-02,21:30,138000
2017-07-07,21:30,222000
2017-08-04,21:30,209000
2017-09-01,21:30,156000
2017-10-06,21:30,-33000
2017-11-03,21:30,261000
2017-12-08,22:30,228000
2018-01-05,22:30,148000
2018-02-02,22:30,200000
2018-03-09,22:30,313000
2018-04-06,21:30,103000
2018-05-04,21:30,164000
2018-06-01,21:30,223000
2018-07-06,21:30,213000
2018-08-03,21:30,157000
2018-09-07,21:30,201000
2018-10-05,21:30,134000
2018-11-02,21:30,250000
2018-12-07,22:30,155000
2019-01-04,22:30,312000
2019-02-01,22:30,304000
2019-03-08,22:30,20000
2019-04-05,21:30,196000
2019-05-03,21:30,263000
2019-06-07,21:30,75000
2019-07-05,21:30,224000
2019-08-02,21:30,164000
2019-09-06,21:30,130000
2019-10-04,21:30,136000
2019-11-01,21:30,128000
2019-12-06,22:30,266000
2020-01-10,22:30,145000
2020-02-07,22:30,225000
2020-03-06,21:30,273000
2020-04-03,21:30,-701000
2020-05-08,21:30,-20537000
2020-06-05,21:30,2509000
2020-07-02,21:30,4800000
2020-08-07,21:30,1763000
2020-09-04,21:30,1371000
2020-10-02,21:30,661000
2020-11-06,22:30,638000
2020-12-04,22:30,245000
2021-01-08,22:30,-140000
2021-02-05,22:30,49000
2021-03-05,22:30,379000
2021-04-02,21:30,916000
2021-05-07,21:30,266000
2021-06-04,21:30,559000
2021-07-02,21:30,850000
2021-08-06,21:30,943000
2021-09-03,21:30,235000
2021-10-08,21:30,194000
2021-11-05,21:30,531000
2021-12-03,22:30,210000
2022-01-07,22:30,199000
2022-02-04,22:30,467000
2022-03-04,22:30,678000
2022-04-01,21:30,431000
2022-05-06,21:30,428000
2022-06-03,21:30,390000
2022-07-08,21:30,372000
2022-08-05,21:30,528000
2022-09-02,21:30,315000
2022-10-07,21:30,263000
2022-11-04,21:30,261000
2022-12-02,22:30,263000
2023-01-06,22:30,223000
2023-02-03,22:30,517000
2023-03-10,22:30,311000
2023-04-07,21:30,236000
2023-05-05,21:30,253000
2023-06-02,21:30,339000
2023-07-07,21:30,209000
2023-08-04,21:30,187000
2023-09-01,21:30,187000
2023-10-06,21:30,336000
2023-11-03,21:30,150000
