Date,Time,Result
2009-04-28,23:00,39.2
2009-05-26,23:00,54.9
2009-06-30,23:00,49.3
2009-07-28,23:00,46.6
2009-08-25,23:00,54.1
2009-09-29,23:00,53.1
2009-10-27,23:00,47.7
2009-11-25,00:00,49.5
2009-12-30,00:00,52.9
2010-01-27,00:00,55.9
2010-02-24,00:00,46.0
2010-03-30,23:00,52.5
2010-04-27,23:00,57.9
2010-05-25,23:00,63.3
2010-06-29,23:00,52.9
2010-07-27,23:00,50.4
2010-08-31,23:00,53.5
2010-09-28,23:00,48.5
2010-10-26,23:00,50.2
2010-12-01,00:00,54.1
2010-12-29,00:00,52.5
2011-01-26,00:00,60.6
2011-02-23,00:00,70.4
2011-03-29,23:00,63.4
2011-04-26,23:00,65.4
2011-05-31,23:00,60.8
2011-06-28,22:45,58.5
2011-07-26,23:00,59.5
2011-08-30,23:00,44.5
2011-09-27,23:00,45.4
2011-10-25,23:00,39.8
2011-11-30,00:00,56.0
2011-12-28,00:00,64.5
2012-02-01,00:00,61.1
2012-02-29,00:00,70.8
2012-03-27,23:00,70.2
2012-04-24,23:00,69.2
2012-05-29,23:00,64.9
2012-06-26,23:00,62.0
2012-07-31,23:00,65.9
2012-08-28,23:00,60.6
2012-09-25,23:00,70.3
2012-11-01,23:00,72.2
2012-11-28,00:00,73.7
2012-12-28,00:00,65.1
2013-01-30,00:00,58.6
2013-02-27,00:00,69.6
2013-03-26,23:00,59.7
2013-04-30,23:00,68.1
2013-05-28,23:00,76.2
2013-06-25,23:00,81.4
2013-07-30,23:00,80.3
2013-08-27,23:00,81.5
2013-09-24,23:00,79.7
2013-10-29,23:00,71.2
2013-11-27,00:00,70.4
2014-01-01,00:00,78.1
2014-01-29,00:00,80.7
2014-02-26,00:00,78.1
2014-03-25,23:00,82.3
2014-04-29,23:00,82.3
2014-05-27,23:00,83.0
2014-06-24,23:00,85.2
2014-07-29,23:00,90.9
2014-08-26,23:00,92.4
2014-09-30,23:00,86.0
2014-10-28,23:00,94.5
2014-11-26,00:00,88.7
2014-12-31,00:00,92.6
2015-01-28,00:00,102.9
2015-02-25,00:00,96.4
2015-03-31,23:00,101.3
2015-04-28,23:00,95.2
2015-05-26,23:00,95.4
2015-06-30,23:00,101.4
2015-07-28,23:00,90.9
2015-08-25,23:00,101.5
2015-09-29,23:00,103.0
2015-10-27,23:00,97.6
2015-11-25,00:00,90.4
2015-12-30,00:00,96.5
2016-01-27,00:00,98.1
2016-02-24,00:00,92.2
2016-03-29,23:00,96.2
2016-04-26,23:00,94.2
2016-05-31,23:00,92.6
2016-06-28,23:00,98.0
2016-07-26,23:00,97.3
2016-08-30,23:00,101.1
2016-09-27,23:00,104.1
2016-10-25,23:00,98.6
2016-11-30,00:00,107.1
2016-12-28,00:00,113.7
2017-02-01,00:00,111.8
2017-03-01,00:00,114.8
2017-03-28,23:00,125.6
2017-04-25,23:00,120.3
2017-05-30,23:00,117.9
2017-06-27,23:00,118.9
2017-07-25,23:00,121.1
2017-08-29,23:00,122.9
2017-09-26,23:00,119.8
2017-10-31,23:00,125.9
2017-11-29,00:00,129.5
2017-12-28,00:00,122.1
2018-01-31,00:00,125.4
2018-02-28,00:00,130.8
2018-03-27,23:00,127.7
2018-04-24,23:00,128.7
2018-05-29,23:00,128.0
2018-06-26,23:00,126.4
2018-07-31,23:00,127.4
2018-08-28,23:00,133.4
2018-09-25,23:00,138.4
2018-10-30,23:00,137.9
2018-11-28,00:00,135.7
2018-12-28,00:00,128.1
2019-01-30,00:00,120.2
2019-02-27,00:00,131.4
2019-03-26,23:00,124.1
2019-04-30,23:00,129.2
2019-05-28,23:00,134.1
2019-06-25,23:00,121.5
2019-07-30,23:00,135.7
2019-08-27,23:00,135.1
2019-09-24,23:00,125.1
2019-10-29,23:00,125.9
2019-11-27,00:00,125.5
2020-01-01,00:00,126.5
2020-01-29,00:00,131.6
2020-02-26,00:00,130.7
2020-03-31,23:00,120.0
2020-04-28,23:00,86.9
2020-05-26,23:00,86.6
2020-06-30,23:00,98.1
2020-07-28,23:00,92.6
2020-08-25,23:00,84.8
2020-09-29,23:00,101.8
2020-10-27,23:00,100.9
2020-11-25,00:00,96.1
2020-12-23,00:00,88.6
2021-01-27,00:00,89.3
2021-02-24,00:00,91.3
2021-03-30,23:00,109.7
2021-04-27,23:00,121.7
2021-05-25,23:00,117.2
2021-06-29,23:00,127.3
2021-07-27,23:00,129.1
2021-08-31,23:00,113.8
2021-09-28,23:00,109.3
2021-10-26,23:00,113.8
2021-12-01,00:00,109.5
2021-12-23,00:00,115.8
2022-01-26,00:00,113.8
2022-02-23,00:00,110.5
2022-03-29,23:00,107.2
2022-04-26,23:00,107.3
2022-05-31,23:00,106.4
2022-06-28,23:00,98.7
2022-07-26,23:00,95.7
2022-08-30,23:00,103.2
2022-09-27,23:00,108.0
2022-10-25,23:00,102.5
2022-11-30,00:00,100.2
2022-12-22,00:00,108.3
2023-02-01,00:00,107.1
2023-03-01,00:00,102.9
2023-03-28,23:00,104.2
2023-04-25,23:00,101.3
2023-05-30,23:00,102.3
2023-06-27,23:00,109.7
2023-07-25,23:00,117.0
2023-08-29,23:00,106.1
2023-09-26,23:00,103.0
2023-10-31,23:00,102.6
